Case #,Crime,Occurred (Averaged),Location
20-01528,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-09-17 08:09,2301 Bancroft Wy; RSF
20-01529,Lost Prop.: Lost Property,2020-09-17 07:29,Hearst Field Annex; Hearst Field Annex
20-01530,148.1 (C): PC; Give/Place/Etc False Bomb (Amended),2020-09-17 04:22,Ucpd; Ucpd
20-01532,Caslty: Injury/Illness,2020-09-17 15:35,2195 Hearst Av; Warren Hall (Rev. 09/04/18)
20-01534,484: PC; Theft,2020-09-18 11:52,735 West End Wy; Uva-164
20-01535,5150: WI; 72 Hour Mental Health Hold,2020-09-18 13:26,Uva; Uva
20-01536,484 (A): PC; Petty Theft,2020-09-18 16:35,2400 Durant Av; Unit-3 (Rev. 09/04/18)
20-01537,Caslty: Injury/Illness,2020-09-19 00:10,2424 Haste St #E31; Rochdale Village
20-01538,INFO: Information Only Report,2020-09-18 23:39,GRIZZLY PEAK BLVD
20-01539,459V-F: PC; Burglary Vehicle,2020-09-19 00:00,Uva; Uva
20-01540,RULES: Rules Violation,2020-09-19 11:58,2650 Haste St #408; Unit-2
20-01541,594 (A): PC; Vandalism [under $1000],2020-09-19 21:22,2301 Bancroft Wy; RSF
20-01542,594 (A): PC; Vandalism [under $1000],2020-09-19 21:33,Kroeber Hall; Kroeber Hall
20-01543,PRODAM: Property Damage,2020-09-19 21:57,Stern Hall; Stern Hall
20-01544,211: PC; Robbery 242: PC; Battery,2020-09-19 22:20,Peoples Park; Peoples Park
20-01545,594 (A): PC; Vandalism [under $1000],2020-09-19 23:15,Sather Tower; Sather Tower
20-01552,INFO: Information Only Report,2020-09-19 20:59,Grizzy Peak BLVD (Rev. 09/04/18)
20-01546,594 (A): PC; Vandalism [under $1000],2020-09-20 00:56,2200 Bancroft Wy
20-01547,5150: WI; 72 Hour Mental Health Hold,2020-09-20 03:49,747 RED OAK AVE
20-01548,INFO: Information Only Report SUPP: Supplemental Reports,2020-09-20 10:47,305 West End Wy; Uva-167
20-01549,484 (A): PC; Petty Theft,2020-09-17 16:00,335 Ohlone Av #105
20-01550,594: PC; Malicious Mischief/Vandalism,2020-09-20 15:09,2424 Channing Wy; Cleary Hall
20-01551,Caslty: Injury/Illness,2020-09-20 19:14,2650 Durant Av #310; Unit-1 Christian (Rev. 09/04/18)
20-01553,MISC: Miscellaneous Report,2020-09-21 00:35,335 Ohlone Av
20-01554,484: PC; Theft,2020-09-21 01:43,305 West End Wy; Uva-167
20-01556,594 (A): PC; Vandalism [under $1000],2020-09-21 04:34,Lower Hearst Parking Structure; Lower Hearst Parking Structure
20-01557,TC-Non Injury: Traffic Collision Non Injury,2020-09-21 09:59,Centennial Dr & Stadium Rimway Lot
20-01558,22651(n): VC; Posted Tow Away Zone,2020-09-21 13:21,2601 Warring St; Ckc-20
20-01559,664/487: PC; Attempt Grand Theft 10852: VC; Tamper With Vehicle 484: PC; Theft,2020-09-21 17:42,Lower Hearst Parking Structure; Lower Hearst Parking Structure
20-01560,594 (A): PC; Vandalism [under $1000],2020-09-21 18:34,Oxford St & Center St
20-01561,594: PC; Malicious Mischief/Vandalism,2020-09-21 20:15,2601 Warring St; Ckc (Rev. 09/04/18)
20-01562,594: PC; Malicious Mischief/Vandalism,2020-09-22 02:09,Latimer Hall; Latimer Hall
20-01563,REPO: Repossessed Vehicle,2020-09-22 04:55,1040 Jackson St
20-01564,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft 664/10851: PC; Attempt to Operate Vehicle W/O Owner's Consent (Amended),2020-09-22 06:21,Ohlone Av & West End Wy
20-01565,10852: VC; Tamper With Vehicle,2020-09-22 08:00,Uva Grounds Shop; Uva Grounds Shop
20-01566,Caslty: Injury/Illness,2020-09-22 12:00,Piedmont Av & OPTOMETRY LANE (Rev. 09/04/18)
20-01569,MISC: Miscellaneous Report,2020-09-23 06:43,Moses Hall; Moses Hall
20-01570,242: PC; Battery On Noncohabitating Former Spouse/Etc OABPD: Outside Assist - BPD,2020-09-20 04:00,Dwight Wy & Prospect Ct
20-01571,459: PC; Burglary: First Degree,2020-01-27 02:15,605 Ohlone Av #606
20-01572,484: PC; Theft,2020-09-23 10:23,735 Gooding Wy #745
20-01573,289 (A): PC; Sexual Penetration W/Foreign Object W/Force (Amended) 243.4: PC; Sexual Battery,2020-09-18 13:15,2503 Haste St
20-01575,148.4: PC; False Fire Alarm 602 (M): PC; Trespass:drive On Private Property (Amended) 626: Exclusion Order Issued,2020-09-23 19:57,2000 Carleton St
20-01576,484 (A): PC; Theft 602 (M): PC; Trespass:drive On Private Property (Amended),2020-09-23 20:56,Memorial Stadium; Memorial Stadium
20-01577,484: PC; Petty Theft,2020-09-23 23:23,2400 Durant Av; Unit-3 (Rev. 09/04/18)
20-01579,417 (A)(1): PC; Exhibit Deadly Weapon Other Than Firearm,2020-09-24 08:51,Peoples Park; Peoples Park
20-01580,459: PC; Burglary: First Degree,2020-09-24 04:00,Bowditch St & Haste St
20-01581,602 (O)(2): PC; Trespass:refuse to Leave Property:owner Request 626: Exclusion Order Issued,2020-09-24 09:35,Lbnl-50; Lbnl-50
20-01582,594: PC; Malicious Mischief/Vandalism,2020-09-24 03:25,Underhill Lot; Underhill Lot
20-01583,5150: WI; 72 Hour Mental Health Hold,2020-09-24 14:15,Sproul Hall; Sproul Hall
20-01584,Found Prop.: Found Property,2020-09-24 15:28,2400 Bancroft Wy; Blackwell Hall
20-01585,INFO: Information Only Report,2020-09-24 16:20,Ucpd; Ucpd
20-01592,664/487: PC; Attempt Grand Theft,2020-09-23 14:15,Cheit Hall; Cheit Hall (Rev. 09/04/18)
20-01586,MISC: Miscellaneous Report,2020-09-25 01:19,805 Kinkead Wy #101; Uva-142
20-01587,20002: VC; Hit and Run,2020-09-24 08:15,Piedmont Av
20-01588,417 (A)(1): PC; Exhibit Deadly Weapon Other Than Firearm,2020-09-25 07:00,Grinnell Path; Grinnell Path
20-01590,626.6 (A): PC; Nonstudent Refuse to Leave Campus,2020-09-25 10:06,2222 Bancroft Wy; Tang Center
20-01591,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-09-13 06:00,Tan Hall #D52; Tan Hall
20-01593,242: PC; Battery On Noncohabitating Former Spouse/Etc 5150: WI; 72 Hour Mental Health Hold 452: PC; Unlawfully Causing Fire,2020-09-25 17:17,2401 Bancroft Wy; Dance Studio
20-01594,452: PC; Unlawfully Causing Fire,2020-09-25 19:21,Uva; Uva (Rev. 09/04/18)
20-01595,Caslty: Injury/Illness,2020-09-26 00:50,Max Martinez; Max Martinez
20-01596,626: Exclusion Order Issued,2020-09-26 16:56,Mens Faculty Club; Mens Faculty Club
20-01597,Lost Prop.: Lost Property,2020-09-26 14:30,Latimer Hall; Latimer Hall
20-01598,INFO: Information Only Report,2020-09-26 21:12,Grizzly Peak Bl & Centennial Dr
20-01599,5150: WI; 72 Hour Mental Health Hold,2020-09-26 23:46,Ucpd; Ucpd (Rev. 09/04/18)
20-01600,Caslty: Injury/Illness,2020-09-27 03:06,660 Kinkead Wy #304
20-01601,484: PC; Theft,2020-09-27 14:37,Campbell Hall; Campbell Hall
20-01602,484: PC; Petty Theft,2020-09-10 19:51,335 Ohlone Av (Rev. 09/04/18)
20-01603,459: PC; Burglary: First Degree,2020-09-27 00:15,Lower Sproul Garage; Lower Sproul Garage
20-01604,273.5 (A): PC; Inflict Corporal Injury On Spouse/Cohabitant,2020-08-22 11:05,735 Gooding Wy #724 (Rev. 09/04/18)
20-01605,FIRE: Fire,2020-09-29 04:31,Gill Tract &
20-01607,484: PC; Petty Theft,2020-09-29 02:22,Zellerbach Hall; Zellerbach Hall
20-01609,Deceased: Deceased Person,2020-09-29 21:35,2650 Haste St; Unit-2 Cunningham
20-01610,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-09-29 23:57,Dwinelle Hall; Dwinelle Hall (Rev. 09/04/18)
20-01611,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-09-29 20:15,Dwinelle Hall; Dwinelle Hall
20-01612,Lost Prop.: Lost Property,2020-08-11 10:00,Zellerbach Hall; Zellerbach Hall
20-01613,INFO: Information Only Report,2020-09-30 07:13,Botanical Gardens; Botanical Gardens
20-01614,243 (B): PC; Battery On Peace Officer/Emergency Personnel/Etc 368 (B)(1): PC; Cause Elder/Dependent Adult:harm/Death 594 (B)(1): PC; Vandalism ($400 Or More) 243 (A): PC; Battery On Person,2020-09-30 15:46,2199 Addison St; University Hall
20-01615,415: PC; Disturb The Peace,2020-09-30 17:43,Valley Life Science Bldg; VLSB (Rev. 09/04/18)
